Company Name,Shares Equivalent Held(actual),Company Name (DT),Current Position
The Tata Power Company Limited,16350203,COSMAX INC,179005
Koenig & Bauer AG,376061,doValue SpA,1225485
Alm. Brand A/S,1823298,CAR Inc.,21665394
Zojirushi Corporation,1154345,Astral Foods Limited,1335688
Bank of Cyprus Holdings Plc,8854736,China Suntien Green Energy Corp. Class H,60605948
Hung Sheng Construction Ltd.,22896400,DO & CO Aktiengesellschaft,173814
Oshidori International Holdings Limited,134054469,Sierra Bancorp,570790
Georgia Capital PLC,1150765,"Yantai Changyu Pioneer Wine Co., Ltd. Class B",7265751
"Sanyang Motor Co., Ltd.",21412726,"Civista Bancshares, Inc.",688458
"ILJIN Materials Co., Ltd.",433358,Uponor Oyj Class A,1457102
"Okamoto Industries, Inc.",377146,"Onward Holdings Co., Ltd.",2982995
"CEMEX, S.A.B. de C.V.",3736703,"Beazer Homes USA, Inc.",1606115
"Comforia Residential REIT, Inc",4600,NextEra Energy Partners LP,319835
Canara Bank,5109935,"Musashi Seimitsu Industry Co., Ltd.",1172081
Metrovacesa S.A.,1491848,Sanofi India Limited,173719
PPC Ltd,53484099,"BML , Inc.",556776
"Suning.com Co., Ltd.",9442642,Banca Farmafactoring SpA,2818554
FFP Société anonyme,135422,DBV Technologies SA,783218
"PlayAGS, Inc.",1366246,TKC Corporation,367255
First Resources Limited,12629972,"Doosan Heavy Industries & Construction Co., Ltd.",2981616
"Carrols Restaurant Group, Inc.",1703750,Ardentec Corporation,15859027
"East Money Information Co.,Ltd.",6275237,Regional Management Corp.,582029
Eramet,247373,"Cheng Uei Precision Industry Co., Ltd.",14036068
BOE Technology Group Company Limited,25756854,"China Dongxiang (Group) Co., Ltd.",123793406
Cascades Inc.,1701305,"Komipharm International Co., Ltd",942548
Tofas Türk Otomobil Fabrikasi A.S.,4241488,"Hyakugo Bank, Ltd.",5184621
Allied Motion Technologies Inc.,392875,EMC Insurance Group Inc.,423897
StarHub Ltd.,14832291,Guangshen Railway Company Limited Class H,46680890
Limoneira Company,718242,Unipro PJSC,363545876
BlueLinx Holdings Inc.,464411,"Citizens, Inc. Class A",2088245
Artesian Resources Corporation,390462,"Century Casinos, Inc.",1570906
LifeTech Scientific Corporation,74079200,Koenig & Bauer AG,375120
Coca-Cola Içecek Anonim Sirketi,2384014,Liberty Latin America Ltd. Class A,883776
Mahanagar Gas Limited,1227550,Nampak Ltd,21905425
Ratos AB (publ),5394336,"MediciNova, Inc.",1580393
"Kolmar Korea Co., Ltd.",390193,"Hite Jinro Co., Ltd.",845277
"West Bancorporation, Inc.",658171,"Max Co., Ltd.",957544
Orocobre Limited,7886908,ADvTECH Limited,17004946
"Taiyo Holdings Co., Ltd.",444909,CITIC Telecom International Holdings Limited,36663238
Q Technology (Group) Company Limited,12336280,Kitz Corporation,2214240
"Ssangyong Cement Industrial Co., Ltd.",2779744,Just Dial Ltd.,1496969
"Hua Xia Bank Co., Ltd.",13648169,"Corindus Vascular Robotics, Inc.",5091030
"New Hope Liuhe Co., Ltd.",5637645,Accell Group N.V.,630512
Australian Pharmaceutical Industries Limited,15513118,"Aier Eye Hospital Group Co., Ltd. Class A",3422541
"Takeuchi Mfg. Co., Ltd.",931541,"Limelight Networks, Inc.",5609951
Johnson Outdoors Inc.,239487,Lucky Cement Ltd.,6393259
Nichicon Corporation,1598288,Sohu.com Limited Sponsored ADR,1080927
Borr Drilling Limited,2095176,Far East Consortium International Limited,31757408
Implenia AG,405136,DCB Bank Limited,5325157
Far East Hospitality Trust,29032201,Banco Macro SA Sponsored ADR Class B,207642
Spin Master Corp.,446783,Okasan Securities Group Inc.,4198369
Hitachi Zosen Corporation,4436442,Sitronix Technology Corp.,3440849
"Foundation Building Materials, Inc.",783331,SHIBUYA KOGYO CO LTD,541108
Arcadyan Technology Corporation,4700913,Just Group plc,26145525
Adesto Technologies Corporation,1297552,"Safeguard Scientifics, Inc.",1250622
Sella Capital Real Estate Ltd.,5724815,"Kohnan Shoji Co., Ltd.",688597
"Baoshan Iron & Steel Co., Ltd.",16434038,Ai Holdings Corporation,959100
Territorial Bancorp Inc.,513238,"Nippon Sheet Glass Company, Limited",2383047
"Hulic Reit, Inc.",8187,Carrols Restaurant Group Inc,1669734
Blue Bird Corporation,722692,First Resources Ltd. (Singapore),13217089
Entegra Financial Corp.,478656,"Zenrin Co., Ltd.",812091
Guotai Junan International Holdings Limited,81084793,KYB Corporation,526455
Geron Corporation,9644900,"PChome Online, Inc.",3079203
"Haier Smart Home Co., Ltd.",6407336,Cambridge Bancorp,184529
"Century Casinos, Inc.",1594141,Hub Power Co. Ltd.,34078027
Hirata Corporation,222880,"BioDelivery Sciences International, Inc.",3229769
"Create SD Holdings Co., Ltd.",636105,"Career Technology (MFG.) Co., Ltd",14313238
Asia Cement (China) Holdings Corporation,11212205,Saga plc,29918127
"Home Bancorp, Inc.",360662,PAR Technology Corporation,530770
Prosperity Real Estate Investment Trust,37926872,M.video PJSC,2212615
"Nissin Electric Co.,Ltd.",1210491,Jastrzebska Spolka Weglowa S.A.,1471074
China Petroleum & Chemical Corporation,19545100,Pou Sheng International (Holdings) Ltd.,53706928
Astral Foods Limited,1331942,SFA Engineering Corp.,469372
"The Japan Wool Textile Co., Ltd.",1641317,WashTec AG,279375
Seneca Foods Corporation,480379,G.U.D. Holdings Limited,2277592
Sanofi India Limited,171130,S Foods Inc.,482060
Aarti Industries Limited,638931,Mahanagar Gas Ltd,1269332
"Kobe Bussan Co., Ltd.",301307,Rai Way SpA,2504207
Far East Consortium International Limited,31925494,u-blox Holding AG,181128
u-blox Holding AG,179587,"Sanyang Motor Co., Ltd.",22119726
Prince Housing & Development Corp.,39802581,"Financial Products Group Co., Ltd.",1675015
"JACCS Co., Ltd.",664278,China Petroleum & Chemical Corporation Class A,19454000
Nojima Corporation,850134,"Suning.com Co., Ltd. Class A",9553542
Schroder Real Estate Investment Trust Limited,20297217,"Qudian, Inc. Sponsored ADR Class A",1984516
Vector Limited,6205499,Sato Holdings Corporation,610339
Banca Farmafactoring SpA,2701264,Faraday Technology Corp.,7342586
"Hansol Chemical Co., Ltd.",211453,Consolidated-Tomoka Land Co.,248712
"Y-mAbs Therapeutics, Inc.",489582,3M India Limited,48454
"Musashino Bank, Ltd.",822996,NetEnt AB Class B,4953217
Lucky Cement Limited,6216309,CIMC Enric Holdings Limited,20348824
"Kinpo Electronics, Inc.",41749389,Tarkett SA,880321
Greencoat UK Wind PLC,8239831,"Hung Sheng Construction Co., Ltd.",22892800
China Resources Medical Holdings Company Limited,21387461,"Ryosan Company, Limited",602963
"Topco Scientific Co.,Ltd.",4712442,GMexico Transportes SAB de CV,12796081
IMF Bentham Limited,6580548,Mayne Pharma Group Limited,40542148
"Northrim BanCorp, Inc.",356932,Daihen Corporation,529750
MannKind Corporation,9827368,Tofas Turk Otomobil Fabrikasi A.S.,4184074
Yamazen Corporation,1603753,Wilson Bayly Holmes-Ovcon Limited,1819548
Wacker Neuson SE,697052,BBX Capital Corporation Class A,3012298
"SillaJen, Inc.",1451606,Maxell Holdings Ltd.,1148097
Svenska Handelsbanken AB (publ),1416791,Precision Drilling Corporation,7812792
"Nichi-Iko Pharmaceutical Co., Ltd.",1238900,"Modec, Inc.",550726
"Nissin Kogyo Co., Ltd.",1043359,Grupa Azoty Spolka Akcyjna,1266642
eGain Corporation,1710225,National Energy Services Reunited Corp.,1690678
"Avid Bioservices, Inc.",2676002,"KEPCO Plant Service & Engineering Co., Ltd",544819
"Minerva Neurosciences, Inc.",1653990,Hyundai Wia Corporation,399942
Lifestyle International Holdings Limited,12354910,"PCM, Inc.",418704
"O2 Czech Republic, a.s.",1533339,SLC Agricola S.A.,3058780
Hansa Biopharma AB (publ),906509,"Adastria Co.,Ltd.",744406
Skyfame Realty (Holdings) Limited,105029633,Pilbara Minerals Limited,45212781
"Seiren Co.,Ltd.",1196740,"Samty Co., Ltd.",914022
CITIC Telecom International Holdings Limited,36987792,"Hamakyorex Co., Ltd.",406688
Shibuya Corporation,533807,Global Dominion Access SA,3020677
Synlait Milk Limited,2501949,SIGA Technologies Inc,2569469
KPJ Healthcare Berhad,63944360,Celltrion Pharm Inc.,480230
Vetropack Holding AG,5175,Neoen S.A.,573087
COFCO Meat Holdings Limited,46391006,O2 Czech Republic a.s.,1527751
Centrais Elétricas Brasileiras S.A. - Eletrobrás,1254332,Mori Hills Reit Investment Corporation,9870
Klövern AB (publ),375129,"Prima Meat Packers,Ltd.",771197
President Securities Corporation,32294050,Malaysia Building Society Bhd.,68988784
Kernel Holding S.A.,1271650,Daibiru Corporation,1557376
Gujarat State Petronet Limited,4426272,"AEON Delight Co., Ltd.",485147
GMR Infrastructure Limited,59466111,Computer Engineering & Consulting Ltd.,647251
Ardentec Corporation,15427027,Unipar Carbocloro SA Pfd Class B,1622715
Noah Holdings Limited,453811,Cooper Energy Limited,36051216
Drive Shack Inc.,3000037,Value Partners Group Limited,24140722
Texas Pacific Land Trust,21573,"Hansol Chemical Co., Ltd",211657
Buzzi Unicem S.p.A.,976208,"Alpek, S.A.B. de C.V. Class A",13346482
Willis Lease Finance Corporation,202219,Dah Sing Banking Group Limited,8310379
"Vera Bradley, Inc.",1378408,ENGIE SA TEMP,935679
"San-Ai Oil Co.,Ltd.",1388376,Soda Sanayii A.S.,13183016
"ViewRay, Inc.",3673074,"KCE Electronics Public Co., Ltd.(Alien Mkt)",26029896
SLC Agrícola S.A.,3058980,YPF SA Sponsored ADR Class D,794879
"China Dongxiang (Group) Co., Ltd.",127180406,"Nichi-Iko Pharmaceutical Co., Ltd.",1256302
3M India Limited,49165,"Takeuchi Mfg.Co., Ltd.",925841
"Wilcon Depot, Inc.",43030687,"Monex Group, Inc.",4826295
Just Dial Limited,1360821,Kasen International Holdings Ltd.,17244568
"Inabata & Co.,Ltd.",1114488,LONGi Green Energy Technology Co Ltd Class A,3865551
"Southern Missouri Bancorp, Inc.",397366,"Bank of Communications Co., Ltd. Class A",17112073
Clarus Corporation,1170091,"Golden Entertainment, Inc.",1031169
"Zenrin Co., Ltd.",818731,Smartgroup Corporation Ltd,2227496
Accent Group Limited,12084719,"Southern First Bancshares, Inc.",368443
"MODEC, Inc.",555324,"Inabata & Co., Ltd.",1100091
"Assembly Biosciences, Inc.",1226953,"MidWestOne Financial Group, Inc.",515596
Basilea Pharmaceutica AG,294027,"Rubicon Project, Inc.",2265288
The Liberty Braves Group,482681,"Taekwang Industrial Co., Ltd.",13721
Suncity Group Holdings Limited,56832575,"Unifi, Inc.",791955
Freedom Foods Group Limited,3527157,"Avid Bioservices, Inc.",2568732
Faraday Technology Corporation,7342586,"KOMERI CO., LTD.",694353
ASPEED Technology Inc.,520000,Industrial & Infrastructure Fund Investment Corporation,10963
PixArt Imaging Inc.,3740724,Far East Hospitality Trust,28931966
Pilbara Minerals Limited,58986780,PT Vale Indonesia Tbk,66466211
AquaVenture Holdings Limited,725611,Chongqing Changan Automobile Company Limited Class B,33951718
"ENCE Energía y Celulosa, S.A.",3534166,PNB Housing Finance Limited,1387172
Strabag SE,423114,"Nissin Kogyo Co., Ltd.",1036062
"Liquidity Services, Inc.",1683370,"Create SD Holdings Co., Ltd.",634705
"Kintetsu World Express, Inc.",975816,Allied Motion Technologies Inc.,378004
AEON REIT Investment Corporation,10957,CHUDENKO CORPORATION,650395
IDEC Corporation,747709,Wacker Neuson SE,701636
Sistema Public Joint Stock Financial Corporation,3555644,"Holy Stone Enterprise Co., Ltd.",4699108
Fincantieri S.p.A.,12676724,"HEIWADO CO., LTD.",775727
"Hamakyorex Co., Ltd.",405587,Inghams Group Ltd.,5107752
"ChemoCentryx, Inc.",1774489,Klovern AB Pref Registered Shs,374665
Sekisui Jushi Corporation,725131,Beijing Capital Land Ltd. Class H,38654791
Beijing Capital Land Ltd.,38654791,Artesian Resources Corporation Class A,383763
China Tian Lun Gas Holdings Limited,13937002,transcosmos Inc.,662152
Fortis Healthcare Limited,7725384,Thermax Limited.,890011
S Foods Inc.,473220,AquaVenture Holdings Limited,712328
"Meet Group, Inc.",3811619,Dart Group PLC,1553000
Doosan Corporation,149234,Entegra Financial Corp.,471995
SkiStar AB (publ),1094803,Albioma,529763
Zhou Hei Ya International Holdings Company Limited,30114971,"Hanmi Science Co., Ltd",357659
"Applied Optoelectronics, Inc.",1180863,Kadokawa Corporation,1110682
Soda Sanayii A.S.,13394138,Prince Housing & Development Corp.,39802581
"Altri, S.G.P.S., S.A.",2022748,VGI Public Co Ltd NVDR,45258350
"Odonate Therapeutics, Inc.",447411,LISI SA,485634
Premier Investment Corporation,9608,Mcmillan Shakespeare Limited,1483179
"Relia, Inc.",1093838,"Shinko Electric Industries Co., Ltd.",1731153
"Capital City Bank Group, Inc.",514405,HKT Trust and HKT Ltd,8834898
FlexiGroup Limited,10159281,Taiwan Styrene Monomer Corporation,17931006
Santos Brasil Participações S.A.,8245359,Advanced Ceramic X Corporation,1829586
"Tokyu Construction Co., Ltd.",1831914,PT Medco Energi Internasional Tbk,232854427
Gold Resource Corporation,3529503,"Surgery Partners, Inc.",1733642
"Del Frisco's Restaurant Group, Inc.",1697888,Coca-Cola Icecek A.S.,2355568
Sany Heavy Equipment International Holdings Company Limited,30769301,Perseus Mining Limited,29618434
Escorts Limited,1836334,"Taiyo Holdings Co., Ltd.",454809
"Business First Bancshares, Inc.",551148,China Zhengtong Auto Services Holdings Limited,37160985
"Kisoji Co., Ltd.",542957,Ser Educacional SA,2006335
Redco Properties Group Limited,33465118,Siam Cement Public Co. Ltd.,995305
"Greif, Inc.",290292,Thai Vegetable Oil Public Co. Ltd.(Alien Mkt),15047280
GuocoLand Limited,9294468,Mersen SA,388177
Nitta Corporation,492201,Automotive Holdings Group Limited,6519989
Value Partners Group Limited,24087554,GDI Property Group,14214601
"Celltrion Pharm, Inc.",472830,Liberbank SA,37105276
"China Airlines, Ltd.",45290050,LifeTech Scientific Corporation,74079200
Banca Monte dei Paschi di Siena SpA,7598713,Koninklijke VolkerWessels N.V.,697234
Bitauto Holdings Limited,1016835,"Kinpo Electronics, Inc.",41749389
"Hanssem Co., Ltd.",247090,Limoneira Company,700248
PChome Online Inc.,3052203,"Nissin Electric Co., Ltd.",1205362
"Southern National Bancorp of Virginia, Inc.",867222,"TeleNav, Inc.",1742188
"Farglory Land Development Co., Ltd.",11187643,Hansteen Holdings PLC,12983405
Northwest Pipe Company,482023,Daiwa Office Investment Corporation,1877
SPH REIT,16819256,"Krung Thai Bank Public Co., Ltd. NVDR",21816834
BR Properties S.A.,4831963,"Sakai Moving Service Co., Ltd.",232017
Immersion Corporation,1588414,"East Money Information Co., Ltd Class A",6568037
Cherry Hill Mortgage Investment Corporation,984661,Sekisui Jushi Corporation,723065
TORIDOLL Holdings Corporation,583732,Aker Solutions ASA,4270112
Chudenko Corporation,626496,Dynavax Technologies Corporation,3475305
China Merchants Securities Co. Ltd.,5343874,Seiko Holdings Corporation,708452
"Arvinas, Inc.",545305,Internet Initiative Japan Inc.,734066
Descente Ltd.,1002126,"Wilcon Depot, Inc.",44914987
"Mercuries Life Insurance Co., Ltd.",38045721,Zojirushi Corporation,1142547
United Super Markets Holdings Inc.,1474032,Hiday Hidaka Corp.,711046
Sanyo Chemical Industries Ltd.,289435,"Advanced Emissions Solutions, Inc.",1095153
Public Joint Stock Oil Company Bashneft,468973,Bashneft OJSC,468973
DIP Corporation,575906,Gujarat State Petronet Limited,4491892
"Nissan Shatai Co., Ltd.",1524954,Esso Thailand Public Co. Ltd.(Alien Mkt),42869377
Lisi S.A.,443866,Teva Pharmaceutical Industries Limited Sponsored ADR,1497697
Hilan Ltd.,347823,"Eiken Chemical Co., Ltd.",817730
Accuray Incorporated,4227769,Northgate PLC,3509539
Kindom Construction Corp.,14347955,"Iljin Materials Co., Ltd.",433588
Neoen S.A.,517147,Blue Bird Corporation,699808
"Tokyu REIT, Inc.",7050,IDEC Corporation,756911
Aker Solutions ASA,4284611,"Business First Bancshares, Inc.",540765
"Holy Stone Enterprise Co.,Ltd.",4576108,"Sanyo Chemical Industries, Ltd.",287737
RBB Bancorp,661013,"Hyundai Green Food Co., Ltd.",1312158
"Sakai Moving Service Co.,Ltd.",233416,FFP,134370
Piaggio & C. SpA,4537085,Great Ajax Corp.,982146
Ameresco Inc.,870646,Hirata Corporation,221581
Arbonia AG,1139914,Farglory Land Development Co. Ltd.,11187643
NIPPON REIT Investment Corporation,3309,STRABAG SE,423320
"NARI Technology Co., Ltd.",4709993,"Japan Wool Textile Co., Ltd.",1649419
"Western New England Bancorp, Inc.",1378686,"Inovio Pharmaceuticals, Inc.",4660202
"Maruwa Co., Ltd.",211538,Ratos AB Class B,5339982
PT Sentul City Tbk,1481540118,Nitto Kogyo Corporation,711260
NHN Corporation,253609,Thai Union Group Public Company Limited(Alien Mkt),22327736
"Toshiba Machine Co., Ltd.",607353,Sistema PJSFC Sponsored GDR RegS,3553535
"22nd Century Group, Inc.",5980744,Chlitina Holding Ltd.,1730127
"Sientra, Inc.",1857953,Nojima Co Ltd,844035
Murray International Trust PLC,889503,Piaggio & C. S.p.a.,4516511
Absa Group Ltd.,1188426,First Real Estate Investment Trust,16824467
"Grupo Herdez, S.A.B. de C.V.",6266734,"S.F. Holding Co., Ltd. Class A",2525023
Electra Limited,40249,"Home Bancorp, Inc.",353977
Sohu.com Limited,1100792,"D&L Industries, Inc.",67407629
"ADMA Biologics, Inc.",2448253,SMU SA,52865485
Worldwide Healthcare Trust PLC,394815,"Southern Missouri Bancorp, Inc.",390699
"Star Micronics Co., Ltd.",890827,"Nippon Ceramic Co., Ltd.",516968
CIMC Enric Holdings Limited,20918824,CECO Environmental Corp.,1418596
Sinopec Kantons Holdings Limited,32803571,"Kindred Biosciences, Inc.",1632883
"Kumho Tire Co., Inc.",3553283,Frontier Communications Corporation Class B,7767372
Nitto Kogyo Corporation,692958,Redco Properties Group Ltd.,34081118
Pact Group Holdings Ltd,8221920,eGain Corporation,1668674
Road King Infrastructure Limited,7568245,"Noritake Co.,Limited",345728
Titan Machinery Inc.,876113,Filinvest Land Incorporated,363563674
"WideOpenWest, Inc.",2306732,"Foundation Building Materials, Inc.",763275
Wing Tai Holdings Limited,8852796,IIFL Finance Limited,7928523
National Energy Services Reunited Corp.,1706215,Nitta Corporation,488202
"Rigel Pharmaceuticals, Inc.",7177249,Carel Industries SpA,1086880
UACJ Corporation,762308,"West Bancorporation, Inc.",638637
HTC Corporation,10944221,Indivior PLC,20188887
Saudi Research and Marketing Group,547626,Xeris Pharmaceuticals Inc,1182523
Tarkett SAS,876271,GuocoLand Limited,9301474
"MORI TRUST Sogo Reit, Incorporation",7175,Emeco Holdings Limited,8569596
AA plc,17544938,"NARI Technology Co., Ltd. Class A",4933635
"OPTEX GROUP Company, Limited",872363,"Japan Logistics Fund, Inc.",5615
ChannelAdvisor Corporation,1404036,Drive Shack Inc.,2880318
"Hyundai Green Food Co.,Ltd.",1303529,Nichicon Corporation,1627189
Bank of Communications,16526773,"Funko, Inc. Class A",557095
Citizens & Northern Corporation,509730,Carmila SAS,809471
"Global Dominion Access, S.A.",3047893,888 Holdings Plc,7224099
Quanterix Corporation,502525,"Yondoshi Holdings, Inc.",559275
"DOUTOR NICHIRES Holdings Co., Ltd.",688122,Arlington Asset Investment Corp. Class A,1954928
PAR Technology Corporation,554270,"Wacom Co., Ltd.",3773614
"Senshu Ikeda Holdings, Inc.",7310552,China Man-Made Fiber Corporation,47417571
Green Cross Corporation,140944,"Toshiba Machine Co., Ltd.",603458
"Keihanshin Building Co., Ltd.",1173494,"Senshu Ikeda Holdings,Inc.",7270881
EVN AG,781399,Adapteo Oyj,1136517
"CSC Financial Co., Ltd.",16524354,Ace Cap Tr Ii Sdeb,9336000
